x y t u
0.25 0.15625 0.25 0.706659
0.21875 0.1875 0.25 0.716551
0.25 0.1875 0.25 0.725175
0.15625 0.21875 0.21875 0.698673
0.1875 0.21875 0.21875 0.710361
0.15625 0.25 0.21875 0.714615
0.1875 0.25 0.21875 0.726848
0.15625 0.21875 0.25 0.714059
0.1875 0.21875 0.25 0.724668
0.15625 0.25 0.25 0.73088
0.1875 0.25 0.25 0.741999
0.21875 0.21875 0.21875 0.72143
0.25 0.21875 0.21875 0.731802
0.21875 0.25 0.21875 0.73844
0.25 0.25 0.21875 0.749311
0.21875 0.21875 0.25 0.734542
0.25 0.21875 0.25 0.743608
0.21875 0.25 0.25 0.752355
0.25 0.25 0.25 0.76187
0.28125 0 0 0.680399
0.28125 0.03125 0 0.694708
0.28125 0 0.03125 0.659458
0.28125 0.03125 0.03125 0.674256
0.3125 0 0 0.693767
0.3125 0.03125 0 0.708651
0.3125 0 0.03125 0.671873
0.3125 0.03125 0.03125 0.687239
0.28125 0.0625 0 0.708651
0.28125 0.0625 0.03125 0.688811
0.3125 0.0625 0 0.723164
0.3125 0.0625 0.03125 0.702366
0.28125 0 0.0625 0.642231
0.28125 0.03125 0.0625 0.657523
0.3125 0 0.0625 0.65362
0.3125 0.03125 0.0625 0.669465
0.28125 0.0625 0.0625 0.67268
0.3125 0.0625 0.0625 0.685184
0.34375 0 0 0.706694
0.34375 0.03125 0 0.722144
0.34375 0 0.03125 0.683849
0.34375 0.03125 0.03125 0.699775
0.375 0 0 0.719101
0.375 0.03125 0 0.735104
0.375 0 0.03125 0.695315
0.375 0.03125 0.03125 0.711785
0.34375 0.0625 0 0.737221
0.34375 0.0625 0.03125 0.715465
0.375 0.0625 0 0.750733
0.375 0.0625 0.03125 0.728024
0.34375 0 0.0625 0.664556
0.34375 0.03125 0.0625 0.680943
0.375 0 0.0625 0.674974
0.375 0.03125 0.0625 0.691884
